"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.237525523E1,6.501594616E1,2.551795630E1,2.163425005E1,1.134447257E0,3.131048399E2,3.104743412E0,3.000000000E0
4.337519419E1,6.501594845E1,2.551793680E1,2.124901657E1,1.007354890E0,3.020609642E2,3.111477342E0,3.000000000E0
4.437513673E1,6.501596055E1,2.551791826E1,2.092747533E1,1.097920917E0,3.081259263E2,3.192085117E0,3.000000000E0
4.537508202E1,6.501596475E1,2.551789279E1,2.087359729E1,1.061554479E0,3.086498684E2,3.116375828E0,3.000000000E0
4.637502778E1,6.501597065E1,2.551786893E1,2.051550599E1,1.055716699E0,3.176369390E2,3.072565401E0,3.000000000E0
4.737497687E1,6.501597712E1,2.551784258E1,2.036699386E1,9.939344775E-1,3.202703504E2,3.018077341E0,3.000000000E0
4.837492800E1,6.501598126E1,2.551781383E1,2.070272034E1,9.882997919E-1,3.228097066E2,3.009839403E0,3.000000000E0
4.937488127E1,6.501598420E1,2.551778801E1,2.055851714E1,9.953707846E-1,3.239245330E2,3.021040508E0,3.000000000E0
5.037483561E1,6.501598995E1,2.551775934E1,2.067185826E1,1.179705184E0,3.101756773E2,2.990914872E0,3.000000000E0
5.137479246E1,6.501599904E1,2.551775524E1,2.063915048E1,1.081914195E0,3.296154300E2,3.088350114E0,3.000000000E0
5.237475073E1,6.501600686E1,2.551775211E1,2.049428887E1,7.738279373E-1,3.339038911E2,3.106316438E0,3.000000000E0
5.337470996E1,6.501601367E1,2.551774488E1,2.025887752E1,7.697347239E-1,3.341102296E2,3.114574106E0,3.000000000E0
5.437467051E1,6.501602520E1,2.551772853E1,2.029171311E1,1.097127389E0,3.246608275E2,3.158939059E0,3.000000000E0
5.537463307E1,6.501603032E1,2.551770704E1,1.993503422E1,1.152646681E0,3.144286894E2,3.137697282E0,3.000000000E0
5.637459600E1,6.501603865E1,2.551770781E1,1.994506446E1,8.307241758E-1,3.139375794E2,3.141795684E0,3.000000000E0
5.737456036E1,6.501604611E1,2.551771058E1,2.016801830E1,9.506243997E-1,3.133093454E2,3.092073982E0,3.811621929E0
5.837452579E1,6.501605155E1,2.551769317E1,2.023660628E1,9.709966349E-1,3.092061135E2,3.120893454E0,3.740795811E0
5.937449205E1,6.501605583E1,2.551767775E1,1.992784074E1,8.868413980E-1,3.048820168E2,3.102031924E0,3.876025617E0
6.037445974E1,6.501606106E1,2.551766763E1,2.023652290E1,6.638394130E-1,3.054857832E2,3.106593474E0,4.008225597E0
6.137442696E1,6.501606854E1,2.551764615E1,2.042190605E1,9.342007071E-1,3.067512335E2,3.140103219E0,3.970588664E0
6.237439549E1,6.501607271E1,2.551761362E1,2.028793721E1,1.175477325E0,2.996863657E2,3.104662832E0,4.041945144E0
